Sintomas,Doença Diagnostica,Tratamento
"Dor de cabeça, febre, tosse",Gripe,"Repouso, Hidratação, Antitérmicos"
"Dor abdominal, náuseas, vômitos",Gastrite,"Antiinflamatórios, Dieta leve"
"Tosse seca, dor de garganta",Faringite,"Antibióticos, Analgésicos"
"Dor nas costas, febre, fadiga",Pneumonia,"Antibióticos, Hidratação"
"Dor de cabeça, tontura, visão turva",Enxaqueca,"Analgésicos, repouso"
"Fadiga, dor muscular, febre",COVID-19,"Isolamento, Antiviral, Hidratação"
"Tosse, dificuldade para respirar, dor no peito",Asma,"Broncodilatadores, Corticosteroides"
"Dor de estômago, diarreia, febre",Gastroenterite,"Hidratação, Antidiarreicos"
"Dor no peito, palidez, suor excessivo",Infarto Agudo do Miocárdio,"Emergência, medicamento anticoagulante"
"Náuseas, dor abdominal, fraqueza",Apendicite,"Cirurgia, antibióticos"
"Febre, calafrios, dor muscular",Dengue,"Hidratação, medicamentos para febre"
"Tosse persistente, dificuldade para engolir",Angina,"Analgésicos, repouso"
"Dor nas articulações, erupção cutânea, febre",Artrite Reativa,"Analgésicos, anti-inflamatórios"
"Cãibras, dor abdominal, náuseas",Intoxicação Alimentar,"Reidratação, repouso"
"Dificuldade para respirar, batimento cardíaco acelerado",Insuficiência Respiratória,"Oxigenoterapia, broncodilatadores"
"Dor de cabeça, febre, rigidez no pescoço",Meningite,"Emergência, antibióticos"
"Dor abdominal, fezes com sangue",Colite,"Antiinflamatórios, dieta especial"
"Dor nas articulações, rigidez matinal",Artrite,"Analgésicos, fisioterapia"
"Sudorese noturna, perda de peso inexplicada",Tuberculose,"Antibióticos, tratamento prolongado"
"Fadiga extrema, perda de apetite",Anemia,"Suplementos de ferro, dieta rica em ferro"
"Vômitos em jatos, dor intensa no abdômen",Pancreatite,"Internação, alimentação intravenosa"
"Falta de ar, tosse seca persistente",Fibrose Pulmonar,"Tratamentos paliativos, oxigenoterapia"
"Manchas na pele, coceira",Alergia,"Antihistamínicos, evitar alérgenos"
"Desmaios, palidez, batimentos cardíacos irregulares",Arritmia,"Medicamentos, acompanhamento médico"
"Febre, dor de garganta, tosse seca",COVID-19,"Isolamento, Antiviral, Hidratação"
"Dor abdominal, febre, diarreia",Apêndice Inflamado,"Cirurgia, antibióticos"
"Tosse seca, dor no peito, febre",Pneumonia Viral,"Antibióticos, tratamento sintomático"
"Dor de cabeça, febre, fraqueza",Malária,"Medicamentos antimaláricos, repouso"
"Dor nas articulações, febre, cansaço",Lúpus,"Imunossupressores, tratamento sintomático"
"Dor de garganta, febre, dor de cabeça",Faringite Estreptocócica,"Antibióticos, analgésicos"
"Fadiga, tosse, dificuldade para respirar",COVID-19,"Isolamento, Antiviral, Hidratação"
"Náuseas, dor abdominal, febre",Hepatite,"Repouso, dieta, medicamentos antivirais"
"Dor no peito, dificuldade para respirar, palidez",Embolia Pulmonar,"Emergência, anticoagulantes"


